ticket_id,date,park_price,our_price,savings
137,2026-01-23,194,165,29
136,2026-01-23,189,160,29
139,2026-01-23,189,160,29
138,2026-01-23,174,159,15
140,2026-01-23,262,233,29
137,2026-01-24,194,165,29
136,2026-01-24,189,160,29
139,2026-01-24,189,160,29
138,2026-01-24,174,159,15
140,2026-01-24,262,233,29
137,2026-01-25,189,160,29
136,2026-01-25,184,159,25
139,2026-01-25,184,159,25
138,2026-01-25,169,159,10
140,2026-01-25,252,223,29
137,2026-01-26,189,160,29
136,2026-01-26,174,159,15
139,2026-01-26,184,159,25
138,2026-01-26,164,159,5
140,2026-01-26,248,219,29
137,2026-01-27,189,160,29
136,2026-01-27,174,159,15
139,2026-01-27,184,159,25
138,2026-01-27,164,159,5
140,2026-01-27,248,219,29
137,2026-01-28,184,159,25
136,2026-01-28,169,159,10
139,2026-01-28,179,159,20
138,2026-01-28,159,159,0
140,2026-01-28,243,214,29
137,2026-01-29,189,160,29
136,2026-01-29,174,159,15
139,2026-01-29,184,159,25
138,2026-01-29,164,159,5
140,2026-01-29,248,219,29
137,2026-01-30,194,165,29
136,2026-01-30,184,159,25
139,2026-01-30,189,160,29
138,2026-01-30,169,159,10
140,2026-01-30,254,225,29
137,2026-01-31,194,165,29
136,2026-01-31,184,159,25
139,2026-01-31,189,160,29
138,2026-01-31,169,159,10
140,2026-01-31,254,225,29
137,2026-02-01,189,160,29
136,2026-02-01,179,159,20
139,2026-02-01,184,159,25
138,2026-02-01,164,159,5
140,2026-02-01,249,220,29
137,2026-02-02,194,165,29
136,2026-02-02,184,159,25
139,2026-02-02,189,160,29
138,2026-02-02,179,159,20
140,2026-02-02,257,228,29
137,2026-02-03,194,165,29
136,2026-02-03,184,159,25
139,2026-02-03,189,160,29
138,2026-02-03,179,159,20
140,2026-02-03,257,228,29
137,2026-02-04,189,160,29
136,2026-02-04,179,159,20
139,2026-02-04,184,159,25
138,2026-02-04,174,159,15
140,2026-02-04,252,223,29
137,2026-02-05,194,165,29
136,2026-02-05,179,159,20
139,2026-02-05,189,160,29
138,2026-02-05,169,159,10
140,2026-02-05,253,224,29
137,2026-02-06,199,170,29
136,2026-02-06,189,160,29
139,2026-02-06,194,165,29
138,2026-02-06,174,159,15
140,2026-02-06,259,230,29
137,2026-02-07,199,170,29
136,2026-02-07,189,160,29
139,2026-02-07,194,165,29
138,2026-02-07,174,159,15
140,2026-02-07,259,230,29
137,2026-02-08,199,170,29
136,2026-02-08,189,160,29
139,2026-02-08,194,165,29
138,2026-02-08,174,159,15
140,2026-02-08,259,230,29
137,2026-02-09,199,170,29
136,2026-02-09,184,159,25
139,2026-02-09,194,165,29
138,2026-02-09,174,159,15
140,2026-02-09,263,234,29
137,2026-02-10,199,170,29
136,2026-02-10,189,160,29
139,2026-02-10,194,165,29
138,2026-02-10,174,159,15
140,2026-02-10,264,235,29
137,2026-02-11,199,170,29
136,2026-02-11,184,159,25
139,2026-02-11,194,165,29
138,2026-02-11,174,159,15
140,2026-02-11,263,234,29
137,2026-02-12,199,170,29
136,2026-02-12,184,159,25
139,2026-02-12,194,165,29
138,2026-02-12,174,159,15
140,2026-02-12,263,234,29
137,2026-02-13,199,170,29
136,2026-02-13,194,165,29
139,2026-02-13,194,165,29
138,2026-02-13,179,159,20
140,2026-02-13,267,238,29
137,2026-02-14,199,170,29
136,2026-02-14,194,165,29
139,2026-02-14,194,165,29
138,2026-02-14,179,159,20
140,2026-02-14,267,238,29
137,2026-02-15,199,170,29
136,2026-02-15,194,165,29
139,2026-02-15,194,165,29
138,2026-02-15,179,159,20
140,2026-02-15,267,238,29
137,2026-02-16,199,170,29
136,2026-02-16,184,159,25
139,2026-02-16,194,165,29
138,2026-02-16,179,159,20
140,2026-02-16,264,235,29
137,2026-02-17,199,170,29
136,2026-02-17,184,159,25
139,2026-02-17,194,165,29
138,2026-02-17,179,159,20
140,2026-02-17,264,235,29
137,2026-02-18,199,170,29
136,2026-02-18,184,159,25
139,2026-02-18,194,165,29
138,2026-02-18,179,159,20
140,2026-02-18,264,235,29
137,2026-02-19,199,170,29
136,2026-02-19,184,159,25
139,2026-02-19,194,165,29
138,2026-02-19,179,159,20
140,2026-02-19,264,235,29
137,2026-02-20,199,170,29
136,2026-02-20,194,165,29
139,2026-02-20,194,165,29
138,2026-02-20,179,159,20
140,2026-02-20,267,238,29
137,2026-02-21,199,170,29
136,2026-02-21,194,165,29
139,2026-02-21,194,165,29
138,2026-02-21,179,159,20
140,2026-02-21,267,238,29
137,2026-02-22,199,170,29
136,2026-02-22,194,165,29
139,2026-02-22,194,165,29
138,2026-02-22,179,159,20
140,2026-02-22,267,238,29
137,2026-02-23,194,165,29
136,2026-02-23,179,159,20
139,2026-02-23,189,160,29
138,2026-02-23,174,159,15
140,2026-02-23,259,230,29
137,2026-02-24,189,160,29
136,2026-02-24,174,159,15
139,2026-02-24,184,159,25
138,2026-02-24,169,159,10
140,2026-02-24,254,225,29
137,2026-02-25,189,160,29
136,2026-02-25,174,159,15
139,2026-02-25,184,159,25
138,2026-02-25,169,159,10
140,2026-02-25,254,225,29
137,2026-02-26,189,160,29
136,2026-02-26,174,159,15
139,2026-02-26,184,159,25
138,2026-02-26,169,159,10
140,2026-02-26,254,225,29
137,2026-02-27,199,170,29
136,2026-02-27,194,165,29
139,2026-02-27,194,165,29
138,2026-02-27,179,159,20
140,2026-02-27,267,238,29
137,2026-02-28,199,170,29
136,2026-02-28,194,165,29
139,2026-02-28,194,165,29
138,2026-02-28,179,159,20
140,2026-02-28,267,238,29
137,2026-03-01,194,165,29
136,2026-03-01,189,160,29
139,2026-03-01,189,160,29
138,2026-03-01,174,159,15
140,2026-03-01,262,233,29
137,2026-03-02,194,165,29
136,2026-03-02,179,159,20
139,2026-03-02,189,160,29
138,2026-03-02,174,159,15
140,2026-03-02,259,230,29
137,2026-03-03,184,159,25
136,2026-03-03,169,159,10
139,2026-03-03,179,159,20
138,2026-03-03,164,159,5
140,2026-03-03,249,220,29
137,2026-03-04,179,159,20
136,2026-03-04,169,159,10
139,2026-03-04,174,159,15
138,2026-03-04,164,159,5
140,2026-03-04,247,218,29
137,2026-03-05,184,159,25
136,2026-03-05,174,159,15
139,2026-03-05,179,159,20
138,2026-03-05,169,159,10
140,2026-03-05,252,223,29
137,2026-03-06,194,165,29
136,2026-03-06,189,160,29
139,2026-03-06,189,160,29
138,2026-03-06,174,159,15
140,2026-03-06,262,233,29
137,2026-03-07,199,170,29
136,2026-03-07,194,165,29
139,2026-03-07,194,165,29
138,2026-03-07,179,159,20
140,2026-03-07,267,238,29
137,2026-03-08,199,170,29
136,2026-03-08,194,165,29
139,2026-03-08,194,165,29
138,2026-03-08,179,159,20
140,2026-03-08,267,238,29
137,2026-03-09,199,170,29
136,2026-03-09,184,159,25
139,2026-03-09,194,165,29
138,2026-03-09,179,159,20
140,2026-03-09,264,235,29
137,2026-03-10,199,170,29
136,2026-03-10,184,159,25
139,2026-03-10,194,165,29
138,2026-03-10,179,159,20
140,2026-03-10,264,235,29
137,2026-03-11,199,170,29
136,2026-03-11,184,159,25
139,2026-03-11,194,165,29
138,2026-03-11,179,159,20
140,2026-03-11,264,235,29
137,2026-03-12,199,170,29
136,2026-03-12,184,159,25
139,2026-03-12,194,165,29
138,2026-03-12,179,159,20
140,2026-03-12,264,235,29
136,2026-03-13,194,165,29
139,2026-03-13,194,165,29
138,2026-03-13,179,159,20
140,2026-03-13,267,238,29
136,2026-03-14,194,165,29
139,2026-03-14,194,165,29
138,2026-03-14,179,159,20
140,2026-03-14,267,238,29
136,2026-03-15,194,165,29
139,2026-03-15,194,165,29
138,2026-03-15,179,159,20
140,2026-03-15,267,238,29
136,2026-03-16,189,160,29
139,2026-03-16,189,160,29
138,2026-03-16,174,159,15
140,2026-03-16,262,233,29
136,2026-03-17,189,160,29
139,2026-03-17,189,160,29
138,2026-03-17,174,159,15
140,2026-03-17,262,233,29
136,2026-03-18,179,159,20
139,2026-03-18,189,160,29
138,2026-03-18,169,159,10
140,2026-03-18,258,229,29
136,2026-03-19,179,159,20
139,2026-03-19,189,160,29
138,2026-03-19,169,159,10
140,2026-03-19,258,229,29
136,2026-03-20,184,159,25
139,2026-03-20,194,165,29
138,2026-03-20,174,159,15
140,2026-03-20,263,234,29
136,2026-03-21,189,160,29
139,2026-03-21,194,165,29
138,2026-03-21,174,159,15
140,2026-03-21,264,235,29
137,2026-03-22,199,170,29
136,2026-03-22,189,160,29
139,2026-03-22,194,165,29
138,2026-03-22,174,159,15
140,2026-03-22,264,235,29
137,2026-03-23,199,170,29
136,2026-03-23,189,160,29
139,2026-03-23,194,165,29
138,2026-03-23,174,159,15
140,2026-03-23,264,235,29
137,2026-03-24,194,165,29
136,2026-03-24,179,159,20
139,2026-03-24,189,160,29
138,2026-03-24,174,159,15
140,2026-03-24,259,230,29
137,2026-03-25,194,165,29
136,2026-03-25,179,159,20
139,2026-03-25,189,160,29
138,2026-03-25,174,159,15
140,2026-03-25,259,230,29
137,2026-03-26,194,165,29
136,2026-03-26,179,159,20
139,2026-03-26,189,160,29
138,2026-03-26,174,159,15
140,2026-03-26,259,230,29
137,2026-03-27,194,165,29
136,2026-03-27,184,159,25
139,2026-03-27,189,160,29
138,2026-03-27,174,159,15
140,2026-03-27,261,232,29
137,2026-03-28,199,170,29
136,2026-03-28,194,165,29
139,2026-03-28,194,165,29
138,2026-03-28,179,159,20
140,2026-03-28,267,238,29
137,2026-03-29,199,170,29
136,2026-03-29,194,165,29
139,2026-03-29,194,165,29
138,2026-03-29,179,159,20
140,2026-03-29,267,238,29
137,2026-03-30,199,170,29
136,2026-03-30,184,159,25
139,2026-03-30,194,165,29
138,2026-03-30,179,159,20
140,2026-03-30,264,235,29
137,2026-03-31,199,170,29
136,2026-03-31,184,159,25
139,2026-03-31,194,165,29
138,2026-03-31,179,159,20
140,2026-03-31,264,235,29
137,2026-04-01,199,170,29
136,2026-04-01,184,159,25
139,2026-04-01,194,165,29
138,2026-04-01,179,159,20
140,2026-04-01,264,235,29
137,2026-04-02,199,170,29
136,2026-04-02,184,159,25
139,2026-04-02,194,165,29
138,2026-04-02,179,159,20
140,2026-04-02,264,235,29
137,2026-04-03,199,170,29
136,2026-04-03,194,165,29
139,2026-04-03,194,165,29
138,2026-04-03,179,159,20
140,2026-04-03,267,238,29
137,2026-04-04,199,170,29
136,2026-04-04,194,165,29
139,2026-04-04,194,165,29
138,2026-04-04,179,159,20
140,2026-04-04,267,238,29
137,2026-04-05,199,170,29
136,2026-04-05,194,165,29
139,2026-04-05,194,165,29
138,2026-04-05,179,159,20
140,2026-04-05,267,238,29
137,2026-04-06,199,170,29
136,2026-04-06,184,159,25
139,2026-04-06,194,165,29
138,2026-04-06,179,159,20
140,2026-04-06,264,235,29
137,2026-04-07,199,170,29
136,2026-04-07,184,159,25
139,2026-04-07,194,165,29
138,2026-04-07,179,159,20
140,2026-04-07,264,235,29
137,2026-04-08,199,170,29
136,2026-04-08,184,159,25
139,2026-04-08,194,165,29
138,2026-04-08,179,159,20
140,2026-04-08,264,235,29
137,2026-04-09,199,170,29
136,2026-04-09,184,159,25
139,2026-04-09,194,165,29
138,2026-04-09,179,159,20
140,2026-04-09,264,235,29
137,2026-04-10,199,170,29
136,2026-04-10,194,165,29
139,2026-04-10,194,165,29
138,2026-04-10,179,159,20
140,2026-04-10,267,238,29
137,2026-04-11,199,170,29
136,2026-04-11,194,165,29
139,2026-04-11,194,165,29
138,2026-04-11,179,159,20
140,2026-04-11,267,238,29
137,2026-04-12,199,170,29
136,2026-04-12,194,165,29
139,2026-04-12,194,165,29
138,2026-04-12,179,159,20
140,2026-04-12,267,238,29
137,2026-04-13,199,170,29
136,2026-04-13,184,159,25
139,2026-04-13,194,165,29
138,2026-04-13,179,159,20
140,2026-04-13,264,235,29
137,2026-04-14,194,165,29
136,2026-04-14,179,159,20
139,2026-04-14,189,160,29
138,2026-04-14,174,159,15
140,2026-04-14,259,230,29
137,2026-04-15,194,165,29
136,2026-04-15,179,159,20
139,2026-04-15,189,160,29
138,2026-04-15,174,159,15
140,2026-04-15,259,230,29
137,2026-04-16,194,165,29
136,2026-04-16,179,159,20
139,2026-04-16,189,160,29
138,2026-04-16,174,159,15
140,2026-04-16,259,230,29
137,2026-04-17,199,170,29
136,2026-04-17,194,165,29
139,2026-04-17,194,165,29
138,2026-04-17,179,159,20
140,2026-04-17,267,238,29
137,2026-04-18,199,170,29
136,2026-04-18,194,165,29
139,2026-04-18,194,165,29
138,2026-04-18,179,159,20
140,2026-04-18,267,238,29
137,2026-04-19,199,170,29
136,2026-04-19,194,165,29
139,2026-04-19,194,165,29
138,2026-04-19,179,159,20
140,2026-04-19,267,238,29
137,2026-04-20,199,170,29
136,2026-04-20,184,159,25
139,2026-04-20,194,165,29
138,2026-04-20,179,159,20
140,2026-04-20,264,235,29
137,2026-04-21,199,170,29
136,2026-04-21,184,159,25
139,2026-04-21,194,165,29
138,2026-04-21,179,159,20
140,2026-04-21,264,235,29
137,2026-04-22,194,165,29
136,2026-04-22,179,159,20
139,2026-04-22,189,160,29
138,2026-04-22,174,159,15
140,2026-04-22,259,230,29
137,2026-04-23,194,165,29
136,2026-04-23,179,159,20
139,2026-04-23,189,160,29
138,2026-04-23,174,159,15
140,2026-04-23,259,230,29
137,2026-04-24,199,170,29
136,2026-04-24,194,165,29
139,2026-04-24,194,165,29
138,2026-04-24,179,159,20
140,2026-04-24,267,238,29
137,2026-04-25,199,170,29
136,2026-04-25,194,165,29
139,2026-04-25,194,165,29
138,2026-04-25,179,159,20
140,2026-04-25,267,238,29
137,2026-04-26,199,170,29
136,2026-04-26,194,165,29
139,2026-04-26,194,165,29
138,2026-04-26,179,159,20
140,2026-04-26,267,238,29
137,2026-04-27,194,165,29
136,2026-04-27,179,159,20
139,2026-04-27,189,160,29
138,2026-04-27,169,159,10
140,2026-04-27,258,229,29
137,2026-04-28,189,160,29
136,2026-04-28,174,159,15
139,2026-04-28,184,159,25
138,2026-04-28,164,159,5
140,2026-04-28,253,224,29
137,2026-04-29,184,159,25
136,2026-04-29,169,159,10
139,2026-04-29,179,159,20
138,2026-04-29,159,159,0
140,2026-04-29,243,214,29
137,2026-04-30,189,160,29
136,2026-04-30,174,159,15
139,2026-04-30,184,159,25
138,2026-04-30,164,159,5
140,2026-04-30,253,224,29
137,2026-05-01,194,165,29
136,2026-05-01,189,160,29
139,2026-05-01,189,160,29
138,2026-05-01,169,159,10
140,2026-05-01,256,227,29
137,2026-05-02,199,170,29
136,2026-05-02,194,165,29
139,2026-05-02,194,165,29
138,2026-05-02,174,159,15
140,2026-05-02,266,237,29
137,2026-05-03,189,160,29
136,2026-05-03,184,159,25
139,2026-05-03,184,159,25
138,2026-05-03,164,159,5
140,2026-05-03,251,222,29
137,2026-05-04,199,170,29
136,2026-05-04,194,165,29
139,2026-05-04,194,165,29
138,2026-05-04,174,159,15
140,2026-05-04,266,237,29
137,2026-05-05,189,160,29
136,2026-05-05,184,159,25
139,2026-05-05,184,159,25
138,2026-05-05,164,159,5
140,2026-05-05,256,227,29
137,2026-05-06,179,159,20
136,2026-05-06,164,159,5
139,2026-05-06,174,159,15
138,2026-05-06,154,159,0
140,2026-05-06,243,214,29
137,2026-05-07,184,159,25
136,2026-05-07,169,159,10
139,2026-05-07,179,159,20
138,2026-05-07,159,159,0
140,2026-05-07,248,219,29
137,2026-05-08,199,170,29
136,2026-05-08,194,165,29
139,2026-05-08,194,165,29
138,2026-05-08,174,159,15
140,2026-05-08,266,237,29
137,2026-05-09,199,170,29
136,2026-05-09,194,165,29
139,2026-05-09,194,165,29
138,2026-05-09,174,159,15
140,2026-05-09,266,237,29
137,2026-05-10,199,170,29
136,2026-05-10,194,165,29
139,2026-05-10,194,165,29
138,2026-05-10,174,159,15
140,2026-05-10,266,237,29
137,2026-05-11,194,165,29
136,2026-05-11,179,159,20
139,2026-05-11,189,160,29
138,2026-05-11,169,159,10
140,2026-05-11,258,229,29
137,2026-05-12,189,160,29
136,2026-05-12,174,159,15
139,2026-05-12,184,159,25
138,2026-05-12,164,159,5
140,2026-05-12,253,224,29
137,2026-05-13,189,160,29
136,2026-05-13,174,159,15
139,2026-05-13,184,159,25
138,2026-05-13,164,159,5
140,2026-05-13,253,224,29
137,2026-05-14,189,160,29
136,2026-05-14,174,159,15
139,2026-05-14,184,159,25
138,2026-05-14,164,159,5
140,2026-05-14,253,224,29
137,2026-05-15,199,170,29
136,2026-05-15,189,160,29
139,2026-05-15,194,165,29
138,2026-05-15,174,159,15
140,2026-05-15,264,235,29
137,2026-05-16,199,170,29
136,2026-05-16,189,160,29
139,2026-05-16,194,165,29
138,2026-05-16,174,159,15
140,2026-05-16,264,235,29
137,2026-05-17,194,165,29
136,2026-05-17,184,159,25
139,2026-05-17,189,160,29
138,2026-05-17,169,159,10
140,2026-05-17,259,230,29
137,2026-05-18,184,159,25
136,2026-05-18,169,159,10
139,2026-05-18,179,159,20
138,2026-05-18,159,159,0
140,2026-05-18,248,219,29
137,2026-05-19,189,160,29
136,2026-05-19,174,159,15
139,2026-05-19,184,159,25
138,2026-05-19,164,159,5
140,2026-05-19,253,224,29
137,2026-05-20,189,160,29
136,2026-05-20,174,159,15
139,2026-05-20,184,159,25
138,2026-05-20,164,159,5
140,2026-05-20,253,224,29
137,2026-05-21,189,160,29
136,2026-05-21,174,159,15
139,2026-05-21,184,159,25
138,2026-05-21,164,159,5
140,2026-05-21,253,224,29
137,2026-05-22,199,170,29
136,2026-05-22,194,165,29
139,2026-05-22,194,165,29
138,2026-05-22,179,159,20
140,2026-05-22,267,238,29
137,2026-05-23,199,170,29
136,2026-05-23,194,165,29
139,2026-05-23,194,165,29
138,2026-05-23,179,159,20
140,2026-05-23,267,238,29
137,2026-05-24,199,170,29
136,2026-05-24,194,165,29
139,2026-05-24,194,165,29
138,2026-05-24,179,159,20
140,2026-05-24,267,238,29
137,2026-05-25,199,170,29
136,2026-05-25,184,159,25
139,2026-05-25,194,165,29
138,2026-05-25,179,159,20
140,2026-05-25,264,235,29
137,2026-05-26,199,170,29
136,2026-05-26,184,159,25
139,2026-05-26,194,165,29
138,2026-05-26,174,159,15
140,2026-05-26,263,234,29
137,2026-05-27,199,170,29
136,2026-05-27,184,159,25
139,2026-05-27,194,165,29
138,2026-05-27,174,159,15
140,2026-05-27,263,234,29
137,2026-05-28,199,170,29
136,2026-05-28,184,159,25
139,2026-05-28,194,165,29
138,2026-05-28,174,159,15
140,2026-05-28,263,234,29
137,2026-05-29,199,170,29
136,2026-05-29,189,160,29
139,2026-05-29,194,165,29
138,2026-05-29,169,159,10
140,2026-05-29,263,234,29
137,2026-05-30,194,165,29
136,2026-05-30,184,159,25
139,2026-05-30,189,160,29
138,2026-05-30,169,159,10
140,2026-05-30,254,225,29
137,2026-05-31,189,160,29
136,2026-05-31,179,159,20
139,2026-05-31,184,159,25
138,2026-05-31,164,159,5
140,2026-05-31,249,220,29
137,2026-06-01,194,165,29
136,2026-06-01,179,159,20
139,2026-06-01,189,160,29
138,2026-06-01,169,159,10
140,2026-06-01,253,224,29
137,2026-06-02,194,165,29
136,2026-06-02,179,159,20
139,2026-06-02,189,160,29
138,2026-06-02,169,159,10
140,2026-06-02,253,224,29
137,2026-06-03,189,160,29
136,2026-06-03,174,159,15
139,2026-06-03,184,159,25
138,2026-06-03,164,159,5
140,2026-06-03,248,219,29
137,2026-06-04,189,160,29
136,2026-06-04,174,159,15
139,2026-06-04,184,159,25
138,2026-06-04,164,159,5
